short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur,predicted_value,value_gap
M. Bakić,26,186,78,45.0,62.0,68.0,70.0,51.0,65.0,1100000,1155250.0,55250.0
J. Hendry,25,192,76,69.0,34.0,52.0,61.0,65.0,73.0,750000,805250.0,55250.0
L. Young,30,175,61,78.0,47.0,52.0,65.0,54.0,47.0,240000,295175.0,55175.0
N. Law,32,178,73,68.0,59.0,63.0,66.0,47.0,68.0,350000,405175.0,55175.0
E. Sánchez,26,186,77,56.0,57.0,63.0,68.0,39.0,58.0,550000,605125.0,55125.0
O. Benítez,27,183,80,78.0,63.0,65.0,71.0,57.0,73.0,1100000,1155125.0,55125.0
L. Bürger,20,181,71,64.0,50.0,58.0,63.0,55.0,61.0,240000,295100.0,55100.0
M. Dahoud,24,178,68,73.0,66.0,73.0,82.0,64.0,68.0,10000000,10055000.0,55000.0
Renaldo Justinho,24,180,74,71.0,60.0,68.0,71.0,42.0,56.0,1200000,1255000.0,55000.0
Lee Jae Won,23,173,66,57.0,53.0,48.0,63.0,38.0,48.0,60000,114975.0,54975.0
M. Derbyshire,34,185,72,72.0,66.0,56.0,62.0,29.0,61.0,275000,329975.0,54975.0
I. Saadi,28,180,85,63.0,68.0,53.0,65.0,22.0,72.0,800000,854875.0,54875.0
P. Hobsch,25,183,80,71.0,63.0,48.0,62.0,25.0,65.0,400000,454875.0,54875.0
R. Riski,30,175,68,79.0,63.0,62.0,68.0,45.0,60.0,600000,654875.0,54875.0
H. Fertoli,25,174,63,86.0,61.0,62.0,72.0,41.0,61.0,1300000,1354875.0,54875.0
D. Tutonda,24,180,70,77.0,43.0,48.0,62.0,55.0,63.0,230000,284825.0,54825.0
M. Pleașcă,30,172,65,72.0,52.0,55.0,58.0,64.0,63.0,600000,654825.0,54825.0
Famana Quizera,18,170,65,64.0,55.0,60.0,71.0,38.0,43.0,625000,679775.0,54775.0
L. Bell Bell,23,180,74,81.0,59.0,57.0,66.0,58.0,64.0,575000,629750.0,54750.0
E. Adu,29,178,67,51.0,41.0,66.0,69.0,63.0,59.0,725000,779750.0,54750.0
A. Newby,24,173,70,76.0,52.0,57.0,60.0,36.0,50.0,170000,224725.0,54725.0
F. Mejía,25,180,78,66.0,59.0,57.0,61.0,34.0,70.0,200000,254725.0,54725.0
B. Verkerken,19,162,55,63.0,26.0,47.0,56.0,51.0,40.0,120000,174700.0,54700.0
G. Blackwood,23,189,81,62.0,58.0,51.0,58.0,44.0,66.0,220000,274675.0,54675.0
H. Yurtseven,19,172,63,58.0,51.0,61.0,64.0,40.0,41.0,190000,244675.0,54675.0
A. Rodman,33,188,80,68.0,58.0,59.0,64.0,52.0,61.0,220000,274650.0,54650.0
L. Polworth,25,179,72,71.0,60.0,66.0,68.0,59.0,64.0,825000,879625.0,54625.0
A. Slimane,19,188,80,63.0,53.0,61.0,67.0,52.0,70.0,775000,829625.0,54625.0
Rúben Fernandes,34,185,78,61.0,51.0,56.0,56.0,70.0,74.0,650000,704600.0,54600.0
K. Duah,23,185,79,80.0,62.0,56.0,61.0,31.0,73.0,475000,529500.0,54500.0
B. Comley,24,180,72,70.0,47.0,60.0,60.0,64.0,70.0,700000,754500.0,54500.0
J. Chabalala,28,181,77,58.0,27.0,44.0,38.0,67.0,67.0,450000,504500.0,54500.0
Alan Besseiro,28,174,68,82.0,47.0,60.0,62.0,61.0,62.0,550000,604500.0,54500.0
M. Bassouamina,22,172,71,72.0,59.0,46.0,59.0,20.0,55.0,180000,234475.0,54475.0
B. Cevahir,28,180,75,56.0,47.0,57.0,55.0,61.0,54.0,220000,274425.0,54425.0
I. Ssewankambo,24,179,80,78.0,37.0,56.0,60.0,59.0,83.0,550000,604375.0,54375.0
S. Oum Gouet,22,185,75,60.0,54.0,64.0,66.0,65.0,69.0,1100000,1154375.0,54375.0
A. Pierre,27,185,88,70.0,37.0,46.0,50.0,65.0,79.0,675000,729375.0,54375.0
T. Ebner,28,180,75,70.0,50.0,61.0,64.0,65.0,71.0,675000,729375.0,54375.0
E. Goñi,35,186,80,66.0,41.0,60.0,63.0,57.0,74.0,100000,154300.0,54300.0
S. Paintsil,24,167,66,78.0,57.0,56.0,68.0,28.0,51.0,475000,529300.0,54300.0
B. Sánchez,27,185,70,64.0,57.0,41.0,60.0,22.0,77.0,180000,234300.0,54300.0
N. Banegas,23,176,80,68.0,37.0,52.0,54.0,62.0,66.0,450000,504275.0,54275.0
O. Camara,21,167,62,86.0,53.0,54.0,66.0,26.0,57.0,550000,604275.0,54275.0
C. Núñez,27,175,83,75.0,64.0,54.0,64.0,31.0,67.0,475000,529250.0,54250.0
F. Darwish,28,176,63,78.0,57.0,58.0,65.0,59.0,71.0,375000,429250.0,54250.0
Cristiano,33,183,83,75.0,73.0,69.0,70.0,48.0,81.0,1900000,1954250.0,54250.0
S. Kersten,22,191,79,61.0,44.0,49.0,49.0,65.0,69.0,675000,729125.0,54125.0
O. Bjørtuft,21,185,75,65.0,28.0,50.0,50.0,66.0,67.0,800000,854125.0,54125.0
Liu Chaoyang,21,182,70,65.0,34.0,44.0,55.0,44.0,56.0,50000,104100.0,54100.0
Kim Won Sik,28,186,76,70.0,37.0,52.0,49.0,62.0,73.0,350000,404100.0,54100.0
Y. Begraoui,18,178,68,76.0,60.0,43.0,63.0,20.0,53.0,325000,379075.0,54075.0
D. Khalid,21,180,78,64.0,63.0,56.0,68.0,19.0,53.0,525000,579000.0,54000.0
I. Sissoko,24,190,89,76.0,70.0,54.0,66.0,32.0,72.0,2500000,2554000.0,54000.0
L. Bessilé,21,183,80,69.0,34.0,48.0,58.0,65.0,66.0,650000,703875.0,53875.0
M. McKenzie,21,180,84,75.0,23.0,46.0,44.0,66.0,66.0,775000,828875.0,53875.0
M. Barrow,27,176,63,93.0,62.0,61.0,72.0,37.0,50.0,1900000,1953875.0,53875.0
M. Ndjoli,21,183,72,72.0,61.0,49.0,59.0,26.0,64.0,275000,328800.0,53800.0
M. Volta,33,184,78,55.0,31.0,43.0,49.0,68.0,74.0,425000,478775.0,53775.0
H. Igarzabal,20,189,85,54.0,30.0,42.0,47.0,61.0,68.0,350000,403750.0,53750.0
J. Muleka,20,182,77,77.0,68.0,58.0,70.0,21.0,63.0,1600000,1653750.0,53750.0
G. Varela,27,173,70,78.0,42.0,60.0,69.0,68.0,70.0,3100000,3153750.0,53750.0
C. Austin,30,188,84,50.0,75.0,57.0,66.0,36.0,68.0,3000000,3053750.0,53750.0
L. Erwin,26,188,79,67.0,61.0,50.0,61.0,27.0,63.0,375000,428725.0,53725.0
M. Çaytemel,36,174,74,59.0,50.0,55.0,60.0,57.0,43.0,45000,98650.0,53650.0
Pedro Chirivella,23,178,66,64.0,50.0,67.0,68.0,61.0,67.0,1100000,1153625.0,53625.0
D. Hubert,32,184,79,46.0,53.0,61.0,53.0,67.0,70.0,425000,478575.0,53575.0
J. Ibarra,22,170,61,64.0,61.0,50.0,62.0,34.0,48.0,180000,233550.0,53550.0
Miguel Veloso,34,180,79,48.0,70.0,82.0,75.0,66.0,69.0,4300000,4353500.0,53500.0
N. Špalek,23,171,67,76.0,65.0,65.0,72.0,33.0,54.0,1300000,1353500.0,53500.0
J. Riley,28,184,71,73.0,53.0,54.0,63.0,60.0,67.0,375000,428425.0,53425.0
C. Good,27,187,85,47.0,35.0,54.0,48.0,64.0,68.0,400000,453375.0,53375.0
D. Asprilla,28,180,75,70.0,63.0,58.0,67.0,39.0,70.0,450000,503375.0,53375.0
Y. Rahmani,25,179,73,72.0,60.0,61.0,74.0,31.0,47.0,950000,1003375.0,53375.0
L. Grimi,35,183,74,54.0,62.0,63.0,64.0,68.0,70.0,220000,273300.0,53300.0
A. Durak,33,181,80,68.0,61.0,64.0,69.0,62.0,66.0,325000,378300.0,53300.0
Andrés Borge,18,181,72,64.0,33.0,47.0,53.0,62.0,56.0,400000,453275.0,53275.0
A. Ibrahim,22,171,65,70.0,45.0,55.0,61.0,61.0,56.0,425000,478250.0,53250.0
W. Grigg,28,180,70,69.0,67.0,48.0,64.0,32.0,66.0,550000,603250.0,53250.0
G. Tormin,22,174,72,80.0,56.0,59.0,67.0,31.0,58.0,675000,728250.0,53250.0
N. Djouahra,20,171,67,67.0,56.0,61.0,69.0,30.0,53.0,675000,728225.0,53225.0
A. Lewis,22,183,85,68.0,38.0,51.0,58.0,59.0,69.0,400000,453175.0,53175.0
M. Youssouf,32,168,64,66.0,45.0,60.0,64.0,43.0,53.0,200000,253150.0,53150.0
S. Quigley,27,194,83,61.0,62.0,46.0,56.0,30.0,75.0,275000,328150.0,53150.0
B. Straalman,23,193,74,55.0,33.0,51.0,52.0,65.0,71.0,550000,603125.0,53125.0
K. Khazeni,25,185,77,65.0,49.0,46.0,57.0,25.0,55.0,70000,123075.0,53075.0
Zé Carlos,21,177,72,72.0,31.0,40.0,64.0,61.0,54.0,525000,578000.0,53000.0
D. Jaiyesimi,22,178,76,84.0,57.0,57.0,65.0,29.0,63.0,475000,528000.0,53000.0
C. Rosel,24,162,65,80.0,48.0,59.0,66.0,55.0,58.0,475000,527950.0,52950.0
R. Sugimoto,27,164,60,72.0,58.0,62.0,68.0,23.0,39.0,475000,527925.0,52925.0
C. Mandouki,28,179,76,58.0,54.0,65.0,65.0,67.0,71.0,925000,977875.0,52875.0
T. Naylor,29,188,72,66.0,58.0,59.0,62.0,66.0,80.0,650000,702875.0,52875.0
J. Espinoza,28,170,73,74.0,51.0,60.0,66.0,63.0,65.0,650000,702875.0,52875.0
B. León,25,180,75,68.0,32.0,47.0,54.0,58.0,61.0,140000,192825.0,52825.0
M. Ovenstad,26,182,70,69.0,59.0,62.0,62.0,53.0,67.0,375000,427825.0,52825.0
Lee Chang Yong,29,180,76,56.0,33.0,51.0,56.0,58.0,65.0,130000,182800.0,52800.0
J. Córdova,25,165,63,75.0,39.0,52.0,61.0,56.0,53.0,240000,292800.0,52800.0
R. Mulumba,27,178,70,58.0,60.0,67.0,63.0,63.0,71.0,725000,777750.0,52750.0
B. Al Ahbabi,29,169,62,86.0,54.0,69.0,71.0,57.0,52.0,2300000,2352625.0,52625.0
Han Chan Hee,23,181,75,71.0,64.0,68.0,68.0,48.0,71.0,1200000,1252625.0,52625.0
O. Ural,23,181,80,72.0,30.0,38.0,64.0,58.0,59.0,325000,377525.0,52525.0
R. Janicki,23,170,62,63.0,58.0,60.0,66.0,30.0,44.0,500000,552525.0,52525.0
K. Bennetts,21,183,73,75.0,59.0,58.0,68.0,41.0,55.0,625000,677500.0,52500.0
Rafa Mir,23,191,87,72.0,70.0,61.0,67.0,44.0,67.0,2500000,2552500.0,52500.0
D. Nikolaou,21,190,92,58.0,37.0,45.0,41.0,68.0,72.0,1000000,1052500.0,52500.0
V. Rama,32,182,78,74.0,58.0,60.0,69.0,22.0,62.0,425000,477400.0,52400.0
R. Gall,25,175,63,82.0,64.0,59.0,70.0,39.0,46.0,800000,852375.0,52375.0
A. Nouri,25,178,65,73.0,46.0,57.0,62.0,60.0,68.0,450000,502375.0,52375.0
M. Awadh,28,168,68,73.0,53.0,52.0,61.0,38.0,56.0,90000,142325.0,52325.0
Yang Boyu,31,187,82,51.0,29.0,31.0,39.0,60.0,70.0,120000,172300.0,52300.0
O. Babuscu,16,176,70,69.0,56.0,58.0,65.0,22.0,46.0,275000,327250.0,52250.0
H. Rodríguez,30,184,79,50.0,48.0,52.0,54.0,71.0,78.0,1900000,1952250.0,52250.0
Henrique Jardinel,20,175,71,60.0,45.0,63.0,64.0,61.0,61.0,525000,577250.0,52250.0
J. Mumbongo,21,188,80,52.0,60.0,45.0,54.0,21.0,59.0,160000,212200.0,52200.0
S. Benyamina,30,190,79,67.0,62.0,42.0,62.0,34.0,69.0,300000,352150.0,52150.0
Jean Cléber,30,180,80,61.0,55.0,63.0,67.0,62.0,68.0,500000,552125.0,52125.0
N. Delfouneso,29,186,78,68.0,60.0,59.0,68.0,29.0,58.0,375000,427075.0,52075.0
D. Marx,20,175,67,72.0,55.0,58.0,64.0,58.0,50.0,425000,477050.0,52050.0
E. Torres,22,165,55,81.0,56.0,60.0,67.0,26.0,38.0,600000,651950.0,51950.0
Astals,18,178,70,64.0,60.0,53.0,62.0,23.0,53.0,275000,326900.0,51900.0
L. Angol,25,187,75,81.0,60.0,55.0,61.0,30.0,67.0,325000,376850.0,51850.0
E. Kabangu,22,178,70,78.0,57.0,60.0,68.0,30.0,43.0,625000,676750.0,51750.0
S. Higashi,19,180,69,67.0,58.0,61.0,65.0,44.0,63.0,500000,551750.0,51750.0
B. Waine,19,179,76,79.0,58.0,50.0,65.0,20.0,53.0,275000,326750.0,51750.0
F. Gattoni,21,183,72,67.0,32.0,40.0,44.0,65.0,56.0,525000,576750.0,51750.0
Woo Ju Sung,27,184,75,63.0,47.0,55.0,58.0,64.0,75.0,575000,626750.0,51750.0
A. Hellum,22,175,70,55.0,57.0,45.0,50.0,23.0,47.0,100000,151700.0,51700.0
Robinho,25,166,67,84.0,55.0,59.0,72.0,36.0,52.0,800000,851625.0,51625.0
E. Albayrak,29,179,69,80.0,65.0,71.0,71.0,65.0,65.0,2600000,2651625.0,51625.0
N. Wähling,22,187,78,68.0,59.0,51.0,65.0,38.0,55.0,300000,351550.0,51550.0
R. Danzaki,20,174,63,70.0,50.0,56.0,63.0,30.0,49.0,210000,261550.0,51550.0
J. Lindner,29,193,86,62.0,42.0,57.0,54.0,63.0,69.0,300000,351500.0,51500.0
Xie Xiaofan,22,177,75,72.0,35.0,46.0,53.0,45.0,66.0,45000,96500.0,51500.0
L. Putaro,23,187,77,70.0,62.0,56.0,66.0,39.0,63.0,525000,576500.0,51500.0
J. Falkingham,29,168,64,68.0,50.0,57.0,61.0,56.0,62.0,200000,251500.0,51500.0
S. Nkansah,24,188,78,60.0,30.0,43.0,47.0,65.0,64.0,450000,501500.0,51500.0
A. Fontana,20,173,68,71.0,58.0,61.0,67.0,46.0,59.0,600000,651500.0,51500.0
G. Galoppo,21,179,73,65.0,45.0,57.0,60.0,58.0,64.0,300000,351475.0,51475.0
S. Taniguchi,28,183,75,64.0,45.0,58.0,59.0,72.0,71.0,2100000,2151375.0,51375.0
R. Ballivián,28,168,62,73.0,61.0,57.0,70.0,63.0,67.0,775000,826375.0,51375.0
J. Hindle,26,180,75,76.0,58.0,42.0,56.0,19.0,56.0,130000,181325.0,51325.0
A. Hurst,20,173,70,85.0,42.0,45.0,59.0,40.0,60.0,120000,171275.0,51275.0
O. Çek,29,173,70,77.0,64.0,68.0,71.0,63.0,66.0,1500000,1551250.0,51250.0
Miguel Cardoso,26,176,76,74.0,61.0,65.0,72.0,39.0,55.0,1200000,1251250.0,51250.0
W. Vaulks,26,180,75,57.0,62.0,64.0,64.0,70.0,77.0,2600000,2651250.0,51250.0
P. Filipović,29,188,81,70.0,52.0,60.0,60.0,70.0,74.0,1500000,1551250.0,51250.0
David Sualehe,23,183,77,66.0,47.0,54.0,61.0,67.0,74.0,1000000,1051250.0,51250.0
D. Bertrand,27,176,64,71.0,62.0,58.0,70.0,26.0,38.0,475000,526150.0,51150.0
S. Živec,29,178,70,75.0,66.0,64.0,72.0,38.0,63.0,1000000,1051125.0,51125.0
M. Beister,29,180,80,78.0,66.0,61.0,69.0,39.0,66.0,750000,801125.0,51125.0
T. Elrich,33,180,77,71.0,53.0,57.0,60.0,59.0,68.0,100000,151125.0,51125.0
L. Cullen,21,173,66,74.0,60.0,52.0,65.0,29.0,39.0,300000,351125.0,51125.0
B. Motshwari,29,172,66,76.0,58.0,67.0,69.0,55.0,63.0,725000,776000.0,51000.0
R. Vloet,25,188,75,58.0,67.0,62.0,64.0,42.0,70.0,675000,726000.0,51000.0
Luís Hernández,31,183,75,67.0,49.0,62.0,63.0,72.0,75.0,1800000,1851000.0,51000.0
Y. Otsu,30,180,73,69.0,63.0,65.0,67.0,41.0,71.0,500000,551000.0,51000.0
J. Arrascaita,26,175,62,75.0,50.0,60.0,70.0,37.0,44.0,575000,625950.0,50950.0
L. Tempelmann,21,174,77,55.0,36.0,56.0,61.0,56.0,51.0,170000,220950.0,50950.0
J. Tabinas,21,182,77,81.0,38.0,45.0,52.0,56.0,67.0,170000,220925.0,50925.0
E. Bennett,31,178,73,73.0,61.0,66.0,67.0,64.0,66.0,650000,700875.0,50875.0
C. Dunkley,28,188,85,57.0,37.0,42.0,51.0,68.0,76.0,900000,950875.0,50875.0
A. Francis,19,182,72,74.0,54.0,59.0,66.0,47.0,62.0,525000,575875.0,50875.0
S. Rhein,22,177,75,66.0,42.0,63.0,65.0,62.0,66.0,875000,925875.0,50875.0
K. Ceesay,32,180,74,78.0,50.0,53.0,61.0,62.0,75.0,300000,350825.0,50825.0
D. van Kaam,20,175,70,66.0,55.0,67.0,69.0,52.0,56.0,1100000,1150750.0,50750.0
V. Mañón,28,174,74,68.0,66.0,58.0,65.0,35.0,59.0,475000,525750.0,50750.0
C. Avevor,28,185,88,65.0,39.0,56.0,54.0,68.0,75.0,1000000,1050750.0,50750.0
Giovanni,21,166,56,78.0,61.0,54.0,64.0,30.0,44.0,350000,400725.0,50725.0
Kim Ki Yeol,21,177,65,59.0,39.0,48.0,55.0,43.0,55.0,50000,100700.0,50700.0
M. Oyola,37,167,69,68.0,54.0,60.0,62.0,42.0,51.0,70000,120675.0,50675.0
Y. Osée,23,194,80,64.0,31.0,36.0,38.0,62.0,69.0,300000,350650.0,50650.0
X. Mlambo,29,170,70,70.0,51.0,68.0,69.0,57.0,54.0,625000,675625.0,50625.0
E. Coacci,21,165,67,87.0,60.0,62.0,73.0,36.0,52.0,1500000,1550625.0,50625.0
D. Man,21,183,82,88.0,69.0,68.0,74.0,43.0,70.0,6000000,6050500.0,50500.0
Miguel Bandarra,24,180,72,73.0,32.0,40.0,47.0,60.0,66.0,250000,300500.0,50500.0
T. Kircher,21,180,68,77.0,27.0,48.0,59.0,60.0,58.0,475000,525500.0,50500.0
Pedro Henrique,30,181,76,80.0,68.0,68.0,73.0,31.0,61.0,2900000,2950500.0,50500.0
D. Matsui,39,175,66,33.0,58.0,64.0,66.0,37.0,49.0,70000,120450.0,50450.0
B. Tuiloma,25,178,79,56.0,44.0,61.0,58.0,66.0,72.0,775000,825375.0,50375.0
N. Miatke,30,178,76,79.0,50.0,60.0,68.0,61.0,65.0,500000,550375.0,50375.0
B. Romero,29,175,70,86.0,65.0,59.0,70.0,38.0,65.0,750000,800375.0,50375.0
P. Digby,25,195,70,53.0,50.0,57.0,53.0,61.0,75.0,350000,400350.0,50350.0
M. Sevimler,21,185,72,52.0,61.0,44.0,57.0,23.0,43.0,160000,210325.0,50325.0
M. Llano,20,184,74,67.0,50.0,60.0,60.0,43.0,48.0,140000,190300.0,50300.0
N. Al Muwallad,27,176,74,68.0,41.0,51.0,59.0,58.0,68.0,160000,210300.0,50300.0
Zhao Xuri,34,185,84,42.0,61.0,61.0,59.0,62.0,72.0,150000,200275.0,50275.0
H. Falchener,17,180,70,63.0,46.0,49.0,56.0,42.0,49.0,70000,120275.0,50275.0
J. Portillo,27,168,61,61.0,51.0,60.0,63.0,56.0,54.0,210000,260275.0,50275.0
S. Rosted,25,188,78,47.0,49.0,54.0,51.0,69.0,74.0,1200000,1250250.0,50250.0
K. Wilson,20,178,71,79.0,39.0,54.0,63.0,58.0,67.0,625000,675250.0,50250.0
S. Tetteh,23,180,68,83.0,66.0,59.0,73.0,22.0,55.0,1400000,1450250.0,50250.0
I. Ljubić,23,184,75,64.0,62.0,64.0,68.0,66.0,69.0,1300000,1350250.0,50250.0
A. Dobra,19,170,70,75.0,44.0,52.0,62.0,37.0,52.0,190000,240175.0,50175.0
Kim Myeong Joon,26,184,75,59.0,27.0,29.0,33.0,64.0,65.0,240000,290175.0,50175.0
M. Rondón,34,182,74,68.0,65.0,64.0,68.0,26.0,74.0,400000,450175.0,50175.0
M. te Wierik,28,191,73,58.0,48.0,59.0,59.0,69.0,72.0,875000,925125.0,50125.0
G. Murray,36,183,80,30.0,75.0,59.0,66.0,42.0,66.0,2000000,2050125.0,50125.0
J. Di Lorenzo,21,183,76,62.0,29.0,39.0,42.0,62.0,58.0,275000,325100.0,50100.0
G. Martirena,20,173,64,61.0,35.0,46.0,44.0,60.0,59.0,200000,250025.0,50025.0
N. Ferguson,24,189,80,63.0,56.0,55.0,59.0,59.0,66.0,275000,325025.0,50025.0
M. Harzan,31,165,55,74.0,43.0,55.0,65.0,39.0,51.0,180000,230025.0,50025.0
A. May,26,176,72,85.0,62.0,50.0,66.0,38.0,65.0,450000,500025.0,50025.0
S. Murray,26,176,72,65.0,59.0,64.0,64.0,47.0,61.0,375000,425025.0,50025.0
M. Domański,29,168,62,77.0,62.0,59.0,63.0,35.0,61.0,300000,350025.0,50025.0
J. Damm,27,185,70,92.0,62.0,65.0,74.0,44.0,70.0,4200000,4250000.0,50000.0
D. Powers,29,180,80,57.0,62.0,65.0,63.0,57.0,64.0,350000,400000.0,50000.0
A. Lacazette,29,176,77,76.0,82.0,75.0,84.0,46.0,75.0,26000000,26050000.0,50000.0
Kim Jung Hyun,27,185,74,49.0,47.0,57.0,53.0,55.0,61.0,90000,140000.0,50000.0
L. Melano,27,185,72,82.0,62.0,61.0,67.0,32.0,68.0,750000,800000.0,50000.0
R. Frantsen,28,184,76,78.0,56.0,56.0,65.0,56.0,64.0,325000,374925.0,49925.0
A. Oudrhiri,27,180,73,68.0,46.0,58.0,66.0,24.0,45.0,240000,289925.0,49925.0
A. Clayton,31,175,75,54.0,60.0,68.0,67.0,67.0,68.0,1300000,1349900.0,49900.0
R. James,26,169,71,77.0,50.0,58.0,67.0,64.0,62.0,1100000,1149875.0,49875.0
S. Otálvaro,33,176,75,75.0,54.0,70.0,67.0,71.0,74.0,3000000,3049875.0,49875.0
M. El Hankouri,23,176,70,78.0,60.0,61.0,73.0,32.0,50.0,1000000,1049875.0,49875.0
E. Berggreen,27,194,89,42.0,68.0,52.0,62.0,30.0,74.0,900000,949875.0,49875.0
M. Guaramato,26,178,70,61.0,30.0,47.0,47.0,62.0,55.0,275000,324850.0,49850.0
Danilo Sacrio,28,176,72,85.0,64.0,45.0,68.0,27.0,56.0,550000,599850.0,49850.0
E. Redín,25,182,78,61.0,52.0,53.0,66.0,53.0,73.0,450000,499850.0,49850.0
E. Urrutia,19,178,70,84.0,40.0,44.0,57.0,25.0,44.0,110000,159825.0,49825.0
Y. Uchida,25,171,62,71.0,59.0,60.0,66.0,61.0,57.0,600000,649750.0,49750.0
Z. Touré,30,183,79,70.0,24.0,48.0,57.0,69.0,80.0,1400000,1449750.0,49750.0
Óscar Rubio,36,172,72,76.0,44.0,57.0,62.0,60.0,66.0,100000,149725.0,49725.0
L. D'Arrigo,18,178,70,70.0,46.0,60.0,61.0,61.0,57.0,575000,624650.0,49650.0
Dai Wai-Tsun,20,175,75,69.0,49.0,57.0,62.0,49.0,57.0,180000,229625.0,49625.0
T. Pledl,26,174,72,76.0,59.0,69.0,74.0,49.0,57.0,2100000,2149625.0,49625.0
M. Sylla,20,181,70,79.0,64.0,53.0,71.0,22.0,54.0,1100000,1149625.0,49625.0
T. Eastman,28,191,88,42.0,32.0,50.0,53.0,64.0,75.0,450000,499625.0,49625.0
K. Andrade,21,182,73,67.0,27.0,40.0,44.0,56.0,59.0,120000,169600.0,49600.0
E. Abouchabaka,20,183,76,63.0,60.0,59.0,64.0,31.0,53.0,450000,499600.0,49600.0
A. Eschenko,36,176,74,67.0,57.0,66.0,65.0,68.0,69.0,425000,474575.0,49575.0
A. Vargas,24,180,77,77.0,39.0,58.0,56.0,57.0,68.0,325000,374525.0,49525.0
Sergio,28,188,81,52.0,35.0,46.0,40.0,66.0,61.0,450000,499500.0,49500.0
K. Rabihic,27,179,77,75.0,60.0,58.0,69.0,29.0,59.0,475000,524500.0,49500.0
L. Mntambo,31,178,73,72.0,57.0,64.0,67.0,46.0,62.0,325000,374500.0,49500.0
G. Madine,29,193,75,51.0,66.0,51.0,61.0,32.0,78.0,650000,699500.0,49500.0
M. Naji,26,176,75,67.0,45.0,51.0,52.0,57.0,70.0,180000,229475.0,49475.0
E. Pärsson,26,188,85,61.0,60.0,51.0,60.0,21.0,64.0,250000,299475.0,49475.0
O. Thioune,26,180,72,57.0,53.0,68.0,66.0,65.0,67.0,975000,1024375.0,49375.0
D. Ward,29,180,72,68.0,69.0,62.0,67.0,35.0,68.0,900000,949375.0,49375.0
R. Keogh,33,188,87,55.0,31.0,59.0,59.0,69.0,72.0,500000,549375.0,49375.0
H. Eyjólfsson,29,190,86,74.0,44.0,54.0,54.0,67.0,71.0,650000,699375.0,49375.0
A. Tutte,29,175,75,62.0,61.0,59.0,60.0,57.0,64.0,150000,199375.0,49375.0
T. Kløve,29,177,76,77.0,59.0,62.0,69.0,56.0,62.0,525000,574375.0,49375.0
C. Schoissengeyr,25,195,92,33.0,20.0,41.0,31.0,66.0,80.0,650000,699375.0,49375.0
J. Martínez,25,176,69,71.0,43.0,58.0,62.0,65.0,64.0,775000,824250.0,49250.0
N. Bancu,27,181,72,75.0,66.0,67.0,71.0,65.0,70.0,2100000,2149250.0,49250.0
J. Dhillon,25,193,84,71.0,62.0,43.0,62.0,20.0,63.0,500000,549225.0,49225.0
T. Seferi,23,184,78,67.0,55.0,42.0,62.0,26.0,65.0,150000,199150.0,49150.0
D. Esmel,22,181,78,81.0,50.0,51.0,65.0,28.0,60.0,300000,349150.0,49150.0
M. Harriman,27,167,74,78.0,53.0,58.0,64.0,61.0,69.0,650000,699125.0,49125.0
Ortuño,29,184,77,64.0,71.0,55.0,62.0,31.0,69.0,1100000,1149125.0,49125.0
J. Lindseth,24,182,71,71.0,56.0,60.0,66.0,57.0,65.0,475000,524125.0,49125.0
Lucas Felippe,20,178,70,63.0,53.0,64.0,65.0,58.0,55.0,625000,674125.0,49125.0
G. Bellusci,30,184,80,54.0,49.0,58.0,61.0,70.0,72.0,850000,899125.0,49125.0
G. Berardi,31,178,72,66.0,39.0,60.0,64.0,69.0,77.0,1300000,1349125.0,49125.0
C. Bayiha,21,173,70,80.0,50.0,56.0,65.0,53.0,58.0,400000,449100.0,49100.0
Gao Tianyi,22,185,79,63.0,43.0,57.0,55.0,57.0,63.0,110000,159050.0,49050.0
L. Banks,23,183,72,72.0,36.0,53.0,60.0,59.0,65.0,375000,424050.0,49050.0
Yuan Mincheng,24,182,70,59.0,23.0,36.0,30.0,63.0,71.0,275000,324025.0,49025.0
Caio Chissano,32,173,74,75.0,39.0,65.0,70.0,71.0,62.0,2500000,2549000.0,49000.0
G. Jung,25,189,76,69.0,41.0,58.0,61.0,72.0,72.0,2700000,2749000.0,49000.0
M. Opondo,22,174,72,74.0,58.0,58.0,67.0,55.0,70.0,650000,699000.0,49000.0
Quini,30,178,74,74.0,60.0,64.0,72.0,68.0,63.0,2500000,2549000.0,49000.0
M. Ferrier,25,183,75,85.0,60.0,49.0,63.0,24.0,75.0,375000,424000.0,49000.0
J. Balkovec,25,185,74,71.0,51.0,64.0,65.0,65.0,70.0,1100000,1149000.0,49000.0
M. Heider,34,187,82,72.0,65.0,61.0,64.0,55.0,80.0,350000,398925.0,48925.0
K. Bemanga,22,175,68,68.0,54.0,52.0,66.0,23.0,44.0,300000,348900.0,48900.0
N. Granatowski,29,173,69,79.0,60.0,55.0,67.0,40.0,71.0,525000,573875.0,48875.0
M. Dobrescu,27,176,72,71.0,33.0,53.0,60.0,61.0,65.0,400000,448875.0,48875.0
J. Ruiz,20,177,74,67.0,52.0,57.0,67.0,43.0,56.0,375000,423875.0,48875.0
Strefezza,23,168,63,82.0,46.0,57.0,70.0,26.0,45.0,675000,723850.0,48850.0
B. Stokke,29,191,90,51.0,62.0,51.0,57.0,36.0,76.0,250000,298800.0,48800.0
