short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur
A. Carroll,31,193,79,37.0,76.0,62.0,66.0,46.0,75.0,5000000
F. Frei,31,183,80,65.0,72.0,74.0,70.0,71.0,73.0,4300000
G. Sio,31,180,80,77.0,75.0,71.0,73.0,29.0,78.0,5000000
Zanka,30,191,85,65.0,40.0,58.0,54.0,74.0,79.0,4600000
S. Terodde,32,192,83,62.0,76.0,54.0,65.0,38.0,77.0,4500000
N. Müller,32,173,66,72.0,72.0,70.0,79.0,43.0,61.0,4400000
J. Faussurier,33,173,70,66.0,59.0,73.0,70.0,70.0,74.0,2500000
L. Koné,31,189,90,50.0,38.0,50.0,55.0,74.0,80.0,4200000
M. Carcela-González,31,175,68,74.0,71.0,71.0,81.0,34.0,52.0,4900000
M. Lang,29,185,79,58.0,68.0,67.0,66.0,75.0,75.0,4600000
J. Russell,30,178,76,77.0,73.0,70.0,75.0,48.0,77.0,5500000
D. Welbeck,29,185,73,76.0,72.0,67.0,72.0,43.0,69.0,5500000
M. Rybus,30,173,75,77.0,69.0,72.0,72.0,70.0,67.0,4400000
F. Navarro,31,165,64,86.0,58.0,66.0,69.0,69.0,66.0,4100000
I. Radovanović,31,187,80,53.0,59.0,70.0,66.0,73.0,75.0,4300000
Claudemir,32,185,79,60.0,67.0,72.0,71.0,71.0,73.0,3700000
Juanfran,31,180,69,74.0,66.0,69.0,74.0,70.0,71.0,4100000
B. Ecuélé Manga,31,186,75,48.0,35.0,56.0,49.0,74.0,79.0,4200000
M. Schmelzer,32,180,74,66.0,48.0,66.0,65.0,75.0,73.0,3500000
A. N'Diaye,30,189,90,69.0,63.0,68.0,69.0,71.0,83.0,4600000
J. Livermore,30,180,74,62.0,63.0,69.0,69.0,71.0,79.0,4600000
R. Jack,28,182,72,65.0,60.0,70.0,71.0,77.0,80.0,5500000
D. Latza,30,179,76,63.0,57.0,72.0,74.0,63.0,77.0,5000000
Éder,32,190,81,76.0,73.0,60.0,68.0,41.0,79.0,4500000
Quique,30,175,67,73.0,75.0,65.0,74.0,43.0,66.0,5500000
S. Zuber,28,182,81,74.0,74.0,72.0,76.0,71.0,75.0,5500000
Rubén Pérez,31,178,73,39.0,64.0,70.0,65.0,73.0,73.0,4800000
Balenziaga,32,177,76,74.0,46.0,68.0,69.0,72.0,74.0,3500000
Etxeita,32,186,78,42.0,35.0,49.0,56.0,74.0,77.0,3600000
M. Gulde,29,184,83,68.0,40.0,53.0,58.0,76.0,70.0,4700000
T. Arslan,29,180,77,73.0,67.0,74.0,75.0,70.0,67.0,4800000
K. Théophile-Catherine,30,183,86,69.0,50.0,66.0,64.0,73.0,79.0,4600000
G. Töre,28,176,70,80.0,68.0,74.0,78.0,43.0,71.0,5500000
S. Sow,31,185,75,65.0,47.0,65.0,72.0,73.0,80.0,4300000
V. Berisha,27,176,81,72.0,70.0,71.0,77.0,58.0,77.0,6000000
M. Lestienne,28,178,68,76.0,72.0,71.0,78.0,36.0,53.0,5500000
Y. Mallı,28,179,72,67.0,67.0,74.0,78.0,33.0,56.0,5500000
M. Barthelmé,31,176,73,71.0,62.0,73.0,73.0,62.0,71.0,4900000
M. Jajalo,32,182,78,63.0,64.0,74.0,76.0,72.0,77.0,4300000
V. Le Goff,30,177,69,71.0,61.0,67.0,71.0,71.0,70.0,4400000
Douglas,29,171,60,80.0,65.0,70.0,76.0,70.0,62.0,4600000
L. Benito,28,186,85,71.0,51.0,67.0,67.0,71.0,77.0,4800000
A. Gray,29,180,78,85.0,74.0,62.0,72.0,30.0,72.0,5500000
S. Ilsanker,31,189,86,59.0,53.0,53.0,50.0,75.0,80.0,4200000
C. Dawson,30,188,77,59.0,46.0,59.0,61.0,75.0,76.0,4600000
M. Ninković,35,180,76,66.0,69.0,73.0,76.0,47.0,66.0,2500000
M. Faraoni,28,180,71,73.0,69.0,73.0,73.0,70.0,73.0,5500000
J. Bruma,28,190,88,65.0,53.0,58.0,56.0,74.0,78.0,4900000
T. Gutiérrez,35,177,81,54.0,74.0,72.0,77.0,28.0,71.0,2600000
Iñigo Pérez,32,178,74,59.0,65.0,77.0,66.0,71.0,72.0,3700000
Gabriel Silva,29,179,75,72.0,60.0,71.0,71.0,69.0,67.0,4600000
Ximo Navarro,30,176,75,75.0,47.0,65.0,68.0,70.0,76.0,4400000
M. Linnes,28,177,72,86.0,57.0,65.0,73.0,69.0,66.0,4800000
Sergio León,31,178,73,75.0,76.0,63.0,75.0,43.0,66.0,5000000
G. Tzavellas,32,183,86,67.0,63.0,66.0,62.0,73.0,78.0,3600000
V. Aboubakar,28,184,82,71.0,74.0,68.0,77.0,36.0,78.0,6000000
Kim Bo Kyung,30,176,72,79.0,68.0,71.0,73.0,59.0,68.0,5500000
B. Linssen,29,170,64,78.0,74.0,68.0,74.0,45.0,67.0,5500000
J. Clasie,29,169,66,61.0,64.0,77.0,73.0,65.0,68.0,5500000
R. Inglese,28,186,85,51.0,75.0,49.0,67.0,27.0,66.0,6000000
Ilie Sánchez,29,180,77,54.0,47.0,67.0,71.0,69.0,76.0,4800000
J. Guidetti,28,185,80,60.0,76.0,67.0,72.0,41.0,72.0,6000000
D. Royer,30,177,73,81.0,73.0,68.0,76.0,48.0,73.0,5500000
N. Jørgensen,29,190,83,67.0,75.0,70.0,71.0,38.0,74.0,5500000
Bruno,30,185,86,37.0,32.0,47.0,46.0,75.0,78.0,4600000
Guilherme,29,174,70,91.0,67.0,69.0,76.0,51.0,65.0,5500000
Juan Jesus,29,185,83,73.0,33.0,52.0,59.0,76.0,74.0,4700000
J. Schlupp,27,178,72,86.0,68.0,66.0,74.0,69.0,76.0,6000000
L. Tonelli,30,183,75,59.0,31.0,44.0,59.0,78.0,67.0,4600000
Recio,29,183,74,39.0,67.0,73.0,71.0,72.0,71.0,5500000
J. Kurtić,31,186,88,59.0,69.0,73.0,71.0,71.0,75.0,4800000
F. Klaus,27,180,79,76.0,68.0,68.0,78.0,37.0,68.0,6000000
K. Stafylidis,26,178,72,75.0,64.0,67.0,72.0,70.0,74.0,5000000
T. Chandler,30,186,84,67.0,71.0,73.0,71.0,74.0,80.0,5500000
Álex Martínez,29,176,67,75.0,59.0,68.0,70.0,67.0,67.0,4600000
T. Bifouma,28,180,80,93.0,71.0,63.0,77.0,29.0,70.0,5500000
V. Germain,30,180,73,71.0,75.0,73.0,74.0,38.0,67.0,5500000
F. Gutiérrez,29,170,66,65.0,72.0,74.0,76.0,61.0,65.0,5500000
A. Knockaert,28,172,69,74.0,69.0,72.0,79.0,48.0,65.0,5500000
D. Lezcano,30,179,78,80.0,74.0,68.0,73.0,45.0,81.0,5500000
Diogo Figueiras,29,170,58,82.0,60.0,66.0,77.0,67.0,50.0,4600000
L. Advíncula,30,178,80,93.0,64.0,69.0,75.0,67.0,81.0,4400000
J. Campbell,28,178,78,81.0,74.0,73.0,75.0,41.0,73.0,6000000
I. Piris,31,173,73,83.0,48.0,61.0,70.0,69.0,74.0,4100000
N. Sliti,27,173,75,73.0,69.0,71.0,77.0,34.0,67.0,6000000
J. Kopic,30,180,80,80.0,71.0,70.0,76.0,36.0,60.0,5500000
T. Malinský,28,170,67,92.0,67.0,68.0,75.0,32.0,60.0,5500000
C. Atsu,28,165,65,83.0,67.0,69.0,79.0,34.0,42.0,5500000
D. Gayle,29,174,78,78.0,75.0,58.0,74.0,28.0,60.0,5500000
A. Ring,29,175,73,73.0,65.0,69.0,74.0,71.0,76.0,4800000
V. Chiricheș,30,184,75,59.0,62.0,56.0,62.0,77.0,66.0,4600000
João Pereira,36,172,66,70.0,61.0,71.0,74.0,71.0,68.0,1000000
D. Garmash,30,186,73,67.0,72.0,74.0,70.0,69.0,76.0,5500000
S. Kryvtsov,29,186,83,65.0,44.0,51.0,50.0,74.0,78.0,4700000
M. Morozyuk,32,176,71,75.0,62.0,74.0,70.0,69.0,49.0,3500000
A. Yiadom,28,180,75,83.0,53.0,62.0,73.0,70.0,75.0,4800000
Marcos Júnior,27,167,66,89.0,74.0,68.0,76.0,36.0,63.0,6000000
S. Holmén,28,188,77,61.0,36.0,49.0,46.0,77.0,75.0,4900000
Romarinho,29,174,69,86.0,70.0,67.0,78.0,30.0,62.0,5500000
S. Mitrović,30,189,84,34.0,34.0,50.0,53.0,75.0,79.0,4600000
M. Prietl,28,187,79,65.0,51.0,62.0,67.0,72.0,79.0,5000000
S. Al Dawsari,28,174,72,82.0,70.0,66.0,77.0,48.0,75.0,5500000
Y. Al Shahrani,28,171,62,86.0,58.0,68.0,70.0,68.0,64.0,4800000
Víctor Rodríguez,30,167,65,77.0,72.0,72.0,75.0,43.0,61.0,5500000
Pedro Santos,32,173,65,77.0,72.0,73.0,75.0,62.0,61.0,4400000
G. Fernández,28,178,75,71.0,70.0,75.0,76.0,65.0,70.0,5500000
D. Kądzior,28,175,74,75.0,70.0,74.0,73.0,46.0,66.0,5500000
A. Solari,28,176,70,89.0,63.0,72.0,74.0,56.0,74.0,5500000
S. Palacios,28,170,69,88.0,71.0,65.0,76.0,36.0,66.0,5500000
L. Reyes,29,175,75,65.0,59.0,66.0,70.0,71.0,75.0,4800000
E. Kalinski,33,184,86,63.0,51.0,72.0,70.0,70.0,82.0,2700000
J. Carli,33,193,91,47.0,34.0,44.0,49.0,77.0,81.0,2700000
Deyverson,29,188,77,72.0,72.0,54.0,70.0,41.0,74.0,5500000
A. Jahanbakhsh,26,180,78,78.0,72.0,68.0,78.0,43.0,69.0,6000000
R. Delgado,30,178,78,80.0,63.0,74.0,76.0,66.0,76.0,4400000
R. Gagliolo,30,180,75,74.0,51.0,53.0,63.0,72.0,72.0,4400000
R. Ortiz,30,174,75,79.0,68.0,67.0,72.0,69.0,84.0,4600000
A. Oyongo,29,176,70,85.0,59.0,67.0,74.0,66.0,76.0,4600000
J. Izquierdo,27,171,75,82.0,69.0,67.0,80.0,38.0,48.0,6000000
N. Camacho,32,175,68,80.0,72.0,70.0,76.0,42.0,48.0,4400000
T. Hlatshwayo,30,188,88,60.0,29.0,48.0,36.0,76.0,75.0,4600000
M. Diagne,28,191,86,64.0,76.0,57.0,61.0,29.0,68.0,6000000
K. Lawrence,27,178,73,86.0,45.0,62.0,69.0,71.0,74.0,5000000
A. Roa,27,175,69,75.0,65.0,72.0,77.0,54.0,61.0,6000000
Lee Jae Sung,27,180,70,71.0,65.0,74.0,78.0,49.0,63.0,6000000
O. Şahiner,28,175,70,81.0,65.0,71.0,77.0,62.0,67.0,5500000
André Simões,30,177,74,77.0,68.0,71.0,74.0,74.0,70.0,4600000
T. Goiginger,27,181,69,88.0,67.0,71.0,75.0,35.0,61.0,6000000
C. Mayada,29,174,73,91.0,65.0,70.0,73.0,70.0,78.0,4800000
M. Trauco,27,175,62,71.0,52.0,74.0,75.0,69.0,72.0,5000000
K. Onisiwo,28,188,85,75.0,71.0,66.0,74.0,56.0,76.0,6000000
Vinicius Cardenha,28,179,73,73.0,49.0,60.0,68.0,71.0,70.0,4800000
Caio Nunson,20,185,85,59.0,50.0,61.0,59.0,73.0,76.0,5500000
Otávio Cairinho,28,179,80,58.0,50.0,58.0,51.0,75.0,74.0,4900000
Eltildo Correia,28,188,78,56.0,50.0,61.0,49.0,76.0,75.0,4900000
Robson Denho,28,181,78,64.0,59.0,72.0,63.0,73.0,77.0,5000000
Ramón da Almeyda,24,178,80,71.0,53.0,65.0,71.0,72.0,73.0,5500000
Douglas Carvalheira,32,174,74,90.0,40.0,61.0,72.0,69.0,69.0,3500000
Edvaldisco,28,183,71,70.0,56.0,71.0,71.0,72.0,69.0,5000000
Lino Essier,28,183,77,67.0,45.0,68.0,66.0,73.0,79.0,4900000
Gérson Damesio,28,182,80,51.0,42.0,49.0,57.0,76.0,76.0,4900000
Padilhisco,28,182,82,81.0,57.0,65.0,75.0,69.0,72.0,4800000
Mauro Cildinho,24,172,64,74.0,46.0,68.0,75.0,69.0,58.0,5500000
Kaimo Lima,24,188,77,74.0,63.0,69.0,68.0,75.0,70.0,5500000
Edercinho Sepa,20,179,76,72.0,72.0,65.0,67.0,74.0,71.0,5500000
Murilo Sancha,32,176,76,78.0,67.0,69.0,74.0,66.0,71.0,4400000
Elias Fontoira,24,186,74,69.0,69.0,74.0,73.0,73.0,70.0,5500000
Diegildo Ramos,28,185,80,30.0,79.0,67.0,67.0,28.0,70.0,6000000
Allan Bardinho,28,175,72,65.0,69.0,73.0,77.0,35.0,54.0,5500000
José Mirazar,24,180,74,72.0,65.0,76.0,77.0,35.0,63.0,6000000
Ailton Guevara,28,177,71,70.0,73.0,73.0,75.0,26.0,63.0,5500000
Erick Gameira,28,180,76,80.0,75.0,58.0,73.0,29.0,62.0,6000000
Nicholas Aldair,28,187,81,67.0,75.0,68.0,71.0,38.0,77.0,6000000
Gustavo Sauer,27,181,77,68.0,69.0,70.0,77.0,41.0,69.0,6000000
R. Morioka,29,180,79,57.0,72.0,77.0,71.0,66.0,66.0,5500000
G. Carabajal,28,178,75,70.0,71.0,72.0,76.0,41.0,66.0,5500000
Salvi Sánchez,29,175,64,91.0,63.0,70.0,72.0,38.0,54.0,5500000
E. Karaca,30,166,56,83.0,63.0,68.0,77.0,44.0,50.0,5500000
João Talocha,30,180,76,70.0,38.0,59.0,67.0,71.0,76.0,4400000
Estevão Baldeiro,24,186,85,75.0,56.0,60.0,63.0,76.0,75.0,5500000
Douglas Armeira,28,174,74,72.0,57.0,63.0,69.0,72.0,74.0,4800000
P. Hrošovský,28,172,69,69.0,68.0,74.0,75.0,70.0,66.0,5500000
I. Traoré,31,186,80,70.0,63.0,70.0,75.0,71.0,81.0,4800000
J. Kayamba,28,170,67,88.0,67.0,68.0,80.0,30.0,55.0,5500000
A. Espino,28,172,71,76.0,59.0,63.0,65.0,70.0,74.0,4800000
T. Almada,19,171,62,86.0,73.0,69.0,79.0,41.0,60.0,8500000
A. Urzi,20,168,61,87.0,63.0,64.0,75.0,36.0,56.0,9000000
Evanilson,20,193,87,72.0,76.0,54.0,70.0,25.0,58.0,9000000
Rafael Camacho,20,175,65,82.0,61.0,65.0,78.0,55.0,58.0,7500000
M. Solomon,20,170,67,81.0,65.0,68.0,77.0,33.0,47.0,7500000
Tomás Tavares,19,187,77,79.0,47.0,61.0,74.0,70.0,71.0,6500000
Romário Baró,20,180,66,77.0,67.0,70.0,74.0,46.0,58.0,7000000
J. Carrascal,22,179,70,70.0,68.0,70.0,80.0,41.0,53.0,7000000
S. Hefti,22,182,78,75.0,45.0,63.0,64.0,69.0,78.0,6000000
G. Diangana,22,180,73,83.0,61.0,66.0,77.0,27.0,54.0,7000000
Carles Pérez,22,173,75,80.0,72.0,66.0,78.0,36.0,62.0,7000000
Z. Vanheusden,20,187,78,59.0,45.0,63.0,66.0,75.0,72.0,6500000
K. Mavropanos,22,194,88,75.0,33.0,48.0,48.0,74.0,78.0,6500000
L. Cacace,19,184,72,84.0,64.0,69.0,73.0,69.0,78.0,6000000
D. Popov,21,187,77,63.0,38.0,46.0,51.0,74.0,73.0,6500000
S. Longstaff,22,180,65,62.0,66.0,71.0,69.0,62.0,66.0,6500000
M. Aarons,20,178,69,81.0,41.0,62.0,74.0,70.0,68.0,6000000
M. Damsgaard,19,180,71,81.0,68.0,71.0,77.0,48.0,64.0,6500000
O. Dorley,21,174,63,86.0,64.0,74.0,78.0,67.0,70.0,6000000
Adrián Marín,23,181,73,66.0,46.0,64.0,70.0,72.0,70.0,5500000
I. Hagi,21,182,72,79.0,67.0,71.0,75.0,36.0,68.0,6000000
A. Robinson,22,183,70,87.0,39.0,50.0,72.0,70.0,69.0,5500000
C. Bravo,23,170,69,74.0,50.0,64.0,73.0,71.0,65.0,5500000
O. Ejaria,22,186,74,71.0,63.0,69.0,82.0,65.0,63.0,6000000
M. Aebischer,23,185,76,70.0,65.0,72.0,73.0,64.0,70.0,6000000
D. Man,21,183,82,88.0,69.0,68.0,74.0,43.0,70.0,6000000
Pedro Porro,20,176,71,76.0,61.0,67.0,76.0,69.0,61.0,5500000
B. Lednev,22,173,70,74.0,72.0,72.0,74.0,53.0,53.0,6000000
Barrenetxea,18,175,74,81.0,66.0,62.0,79.0,24.0,52.0,5500000
Aihen Muñoz,22,175,68,78.0,53.0,67.0,71.0,71.0,65.0,5500000
Moncayola,22,184,73,68.0,64.0,71.0,69.0,68.0,67.0,5500000
A. Armstrong,23,168,69,90.0,73.0,65.0,75.0,35.0,70.0,6000000
P. Roberts,23,170,66,77.0,66.0,69.0,79.0,27.0,40.0,6000000
K. Ajer,22,196,94,70.0,55.0,57.0,66.0,73.0,82.0,5500000
G. Castrovilli,23,179,72,71.0,58.0,73.0,80.0,60.0,47.0,6000000
K. Grant,22,182,70,88.0,74.0,62.0,73.0,37.0,65.0,6000000
J. Lucumi,22,183,84,68.0,28.0,54.0,62.0,73.0,77.0,5500000
A. Tuanzebe,22,185,75,76.0,36.0,64.0,70.0,73.0,73.0,5500000
J. Justin,22,183,80,76.0,47.0,66.0,70.0,69.0,67.0,5500000
Toni Lato,22,171,64,77.0,56.0,71.0,71.0,68.0,61.0,5500000
T. Fosu-Mensah,22,185,78,81.0,60.0,64.0,65.0,71.0,75.0,5500000
R. Doan,22,172,70,75.0,69.0,71.0,78.0,39.0,57.0,6000000
C. Mepham,22,191,75,61.0,37.0,56.0,61.0,74.0,74.0,5500000
Y. Eteki,22,182,76,65.0,55.0,66.0,69.0,68.0,76.0,5500000
E. Atuesta,23,180,71,62.0,56.0,71.0,75.0,67.0,67.0,5500000
S. Cáseres,23,177,75,65.0,56.0,66.0,69.0,71.0,71.0,5500000
S. Nsoki,21,184,83,69.0,37.0,64.0,67.0,72.0,76.0,5500000
P. Bucha,22,173,70,70.0,68.0,73.0,75.0,59.0,65.0,6000000
O. Ntcham,24,180,82,71.0,70.0,73.0,76.0,66.0,74.0,5500000
J. Larsson,23,175,68,76.0,74.0,69.0,73.0,24.0,71.0,5500000
R. Henry,22,170,66,91.0,40.0,59.0,73.0,67.0,70.0,5000000
O. Aina,23,184,82,86.0,61.0,68.0,74.0,70.0,73.0,5500000
V. Kovalenko,24,182,76,75.0,71.0,72.0,74.0,59.0,72.0,5500000
Aleix García,23,173,68,66.0,68.0,73.0,74.0,59.0,56.0,5500000
M. Matvienko,24,181,76,74.0,43.0,59.0,59.0,74.0,74.0,5000000
A. Mozo,23,175,71,78.0,44.0,60.0,69.0,68.0,77.0,5000000
C. Romero,22,185,79,62.0,35.0,43.0,48.0,74.0,76.0,5000000
C. Awaziem,23,189,78,65.0,39.0,45.0,60.0,73.0,74.0,5000000
M. Pereira Lage,23,180,67,79.0,70.0,72.0,73.0,43.0,65.0,5500000
J. Schouten,23,185,74,63.0,55.0,66.0,73.0,71.0,65.0,5000000
M. Chouiar,21,177,75,74.0,69.0,70.0,76.0,38.0,62.0,5500000
Kim Min Jae,23,190,78,75.0,32.0,57.0,60.0,72.0,78.0,5000000
L. Singh,22,171,63,87.0,68.0,62.0,77.0,29.0,42.0,5500000
D. Limnios,22,178,71,79.0,67.0,66.0,76.0,40.0,59.0,5500000
Borja Sánchez,24,186,80,77.0,68.0,72.0,74.0,37.0,65.0,5500000
Mauro Júnior,21,171,62,86.0,66.0,70.0,79.0,49.0,50.0,5500000
I. Šunjić,23,184,75,69.0,58.0,58.0,64.0,73.0,78.0,5000000
T. Bašić,23,190,82,53.0,61.0,74.0,71.0,68.0,71.0,5500000
B. Dia,23,180,75,76.0,73.0,52.0,72.0,26.0,73.0,5500000
G. Corujo,24,189,85,64.0,33.0,53.0,48.0,76.0,75.0,5000000
H. Reed,25,170,72,68.0,57.0,71.0,70.0,69.0,68.0,4900000
Róber,25,182,74,49.0,43.0,61.0,61.0,75.0,68.0,4900000
M. Valjent,24,186,83,66.0,36.0,54.0,64.0,74.0,79.0,4900000
R. Coly,24,185,70,78.0,45.0,60.0,67.0,69.0,78.0,4900000
Fede,23,174,68,61.0,55.0,66.0,65.0,70.0,74.0,5000000
L. Suárez,24,167,60,72.0,67.0,73.0,79.0,23.0,39.0,5500000
J. Augustin,23,177,69,79.0,73.0,62.0,79.0,30.0,60.0,5500000
J. Murillo,24,171,66,92.0,68.0,61.0,77.0,30.0,49.0,5500000
S. Amallah,23,186,82,69.0,73.0,71.0,75.0,56.0,68.0,5500000
B. Heynen,23,182,74,66.0,63.0,72.0,72.0,67.0,70.0,5500000
D. Vergara,23,172,65,88.0,68.0,64.0,74.0,37.0,67.0,5500000
R. Perraud,22,173,68,71.0,65.0,68.0,71.0,71.0,71.0,4900000
R. Kristensen,22,186,75,71.0,56.0,67.0,67.0,68.0,76.0,4900000
L. Bénes,22,181,72,59.0,70.0,77.0,75.0,44.0,60.0,5500000
F. Ballo-Touré,23,182,60,84.0,51.0,69.0,71.0,67.0,72.0,4900000
Yuri Ribeiro,23,175,74,76.0,51.0,69.0,72.0,70.0,67.0,4900000
E. Löwen,23,188,91,57.0,62.0,71.0,69.0,70.0,86.0,5500000
Pêpê,23,183,69,61.0,64.0,70.0,72.0,66.0,71.0,5500000
R. Amaral,23,178,81,67.0,72.0,71.0,74.0,34.0,72.0,5500000
Dani Raba,24,184,76,68.0,70.0,71.0,74.0,38.0,59.0,5500000
Y. Fofana,21,176,69,72.0,64.0,66.0,74.0,71.0,73.0,5500000
K. Despodov,23,178,69,85.0,74.0,68.0,73.0,29.0,61.0,5500000
N. Murru,25,180,74,71.0,40.0,61.0,69.0,71.0,67.0,4700000
K. Omeruo,26,185,81,68.0,32.0,50.0,58.0,73.0,77.0,4700000
S. Schrijvers,23,180,67,70.0,75.0,74.0,76.0,53.0,64.0,5500000
C. Nørgaard,26,187,77,57.0,58.0,68.0,68.0,73.0,72.0,4800000
C. Akpom,24,186,81,84.0,71.0,55.0,71.0,28.0,74.0,5500000
L. Phiri,25,173,63,75.0,53.0,69.0,73.0,71.0,69.0,4800000
I. Lichnovsky,26,186,72,62.0,40.0,51.0,59.0,75.0,74.0,4700000
P. Díaz,25,178,76,76.0,50.0,67.0,66.0,71.0,79.0,4800000
A. Browne,25,173,71,74.0,71.0,67.0,71.0,69.0,82.0,4800000
Rafa Soares,25,178,71,74.0,62.0,70.0,72.0,69.0,65.0,4700000
R. Tapia,24,185,78,65.0,58.0,67.0,73.0,71.0,79.0,4900000
J. Stacey,24,178,62,75.0,54.0,66.0,71.0,69.0,70.0,4700000
D. Toköz,24,180,75,71.0,65.0,66.0,70.0,72.0,71.0,4900000
L. Godoy,25,173,70,76.0,57.0,66.0,74.0,68.0,76.0,4700000
T. Ouwejan,23,178,72,71.0,53.0,70.0,72.0,69.0,72.0,4700000
A. Barboza,25,192,88,51.0,56.0,59.0,61.0,72.0,84.0,4800000
M. Gaćinović,25,175,67,75.0,61.0,70.0,80.0,63.0,63.0,5500000
A. Ba Loua,23,170,64,87.0,60.0,71.0,76.0,27.0,52.0,5500000
Marc Navarro,24,188,79,61.0,56.0,69.0,65.0,74.0,63.0,4700000
D. Lamkel Zé,23,193,79,80.0,69.0,70.0,74.0,50.0,75.0,5500000
J. Léa Siliki,24,183,73,71.0,64.0,74.0,75.0,70.0,70.0,5500000
M. Murillo,24,183,75,81.0,49.0,64.0,68.0,68.0,79.0,4700000
A. Musrati,24,189,83,55.0,51.0,66.0,65.0,69.0,79.0,4900000
Lucas Torró,25,190,77,45.0,63.0,64.0,64.0,72.0,73.0,4700000
D. Kourmpelis,26,181,74,75.0,52.0,64.0,67.0,71.0,75.0,4600000
L. Schaub,25,177,70,57.0,65.0,71.0,80.0,38.0,66.0,5000000
N. Gavory,25,183,79,72.0,59.0,74.0,72.0,67.0,69.0,4500000
K. Akpoguma,25,192,85,74.0,48.0,54.0,60.0,75.0,71.0,4600000
D. Selke,25,194,84,71.0,72.0,54.0,70.0,43.0,76.0,5000000
J. Castelletto,25,185,76,74.0,30.0,52.0,61.0,73.0,76.0,4600000
Sandro,24,175,71,67.0,75.0,65.0,77.0,30.0,63.0,5500000
J. Figal,26,181,64,70.0,45.0,63.0,70.0,72.0,75.0,4600000
A. Grassi,25,183,75,65.0,63.0,72.0,74.0,67.0,62.0,5000000
A. Živković,23,169,68,74.0,68.0,72.0,81.0,54.0,49.0,5000000
M. Veljković,24,188,85,59.0,31.0,55.0,59.0,74.0,72.0,4700000
P. Michorl,25,176,71,67.0,67.0,76.0,72.0,65.0,65.0,5000000
A. Blin,23,184,78,48.0,55.0,67.0,65.0,72.0,74.0,4700000
M. Vojvoda,25,186,81,70.0,50.0,68.0,70.0,70.0,71.0,4500000
Y. Aït Bennasser,23,184,74,67.0,62.0,74.0,76.0,65.0,66.0,5000000
R. Del Castillo,24,172,65,75.0,72.0,72.0,79.0,39.0,65.0,5500000
P. Burner,24,170,65,73.0,58.0,67.0,72.0,70.0,69.0,4600000
S. Peña,24,178,69,63.0,68.0,77.0,74.0,53.0,61.0,5000000
P. Aquino,25,175,71,76.0,59.0,66.0,67.0,69.0,75.0,4700000
Pedro Sá,26,177,72,61.0,55.0,62.0,66.0,69.0,77.0,4600000
M. Ullmann,24,180,65,83.0,59.0,64.0,69.0,65.0,61.0,4600000
B. Zuculini,27,182,77,66.0,62.0,70.0,71.0,70.0,77.0,4400000
S. Denswil,27,188,82,43.0,56.0,65.0,64.0,75.0,73.0,4300000
Patric,27,184,72,68.0,53.0,66.0,70.0,75.0,68.0,4300000
N. López,26,178,75,74.0,73.0,67.0,78.0,25.0,57.0,5000000
M. van der Hoorn,27,190,83,38.0,45.0,53.0,49.0,74.0,78.0,4300000
S. Ajayi,26,193,83,77.0,48.0,50.0,62.0,72.0,79.0,4400000
Paulo Otávio,25,174,68,87.0,55.0,67.0,75.0,66.0,56.0,4400000
H. Magnússon,27,190,81,69.0,50.0,66.0,61.0,74.0,73.0,4300000
M. Tanković,25,180,74,76.0,69.0,69.0,74.0,37.0,71.0,5000000
M. Agu,27,185,79,64.0,44.0,59.0,66.0,73.0,76.0,4400000
I. Mbaye,25,188,70,68.0,49.0,64.0,68.0,72.0,68.0,4400000
D. Cataldi,25,180,70,66.0,71.0,76.0,73.0,68.0,64.0,4900000
D. Amartey,25,186,79,66.0,55.0,64.0,68.0,75.0,75.0,4400000
L. Öztunalı,24,184,79,75.0,68.0,67.0,77.0,45.0,68.0,5000000
A. Tameze,26,180,78,67.0,61.0,68.0,74.0,72.0,74.0,4900000
W. Troost-Ekong,26,191,82,63.0,32.0,45.0,43.0,76.0,77.0,4400000
J. Toljan,25,182,73,86.0,42.0,62.0,69.0,66.0,67.0,4400000
F. Angileri,26,184,84,77.0,68.0,70.0,72.0,67.0,79.0,4300000
P. Zinckernagel,25,175,70,88.0,67.0,68.0,74.0,42.0,67.0,5000000
V. García,26,178,71,77.0,40.0,61.0,72.0,68.0,69.0,4300000
P. Arriola,25,168,66,81.0,67.0,66.0,73.0,58.0,68.0,5000000
H. Belkebla,26,177,68,63.0,49.0,68.0,72.0,68.0,73.0,4500000
Y. Namli,26,180,70,77.0,59.0,72.0,78.0,45.0,58.0,5000000
C. Bassogog,24,173,72,90.0,70.0,59.0,78.0,38.0,73.0,5000000
Jamiro Monteiro,26,175,72,76.0,61.0,72.0,76.0,63.0,74.0,4900000
J. Lucumi,25,178,75,79.0,67.0,65.0,76.0,24.0,65.0,5000000
F. Ricca,25,178,73,70.0,45.0,63.0,68.0,72.0,72.0,4400000
M. Zajc,26,179,76,70.0,70.0,74.0,73.0,52.0,57.0,5000000
Guilherme,25,180,65,85.0,72.0,64.0,75.0,26.0,58.0,5000000
Reinildo,26,180,73,75.0,52.0,60.0,72.0,70.0,73.0,4300000
S. Lobjanidze,25,176,62,88.0,68.0,65.0,75.0,25.0,55.0,5000000
A. Čermák,25,181,75,69.0,66.0,74.0,73.0,43.0,63.0,5000000
A. Parmak,25,176,70,76.0,69.0,72.0,74.0,72.0,69.0,4900000
